,decision_date_br,curr_change_br,category_br
199,2018-02-07,0.9415217191941938,depreciation
200,2018-03-21,1.212991536557806,depreciation
201,2018-05-16,1.6756889094420746,depreciation
202,2018-06-20,0.35789083004162947,hold
203,2018-08-01,-1.1439084873210215,appreciation
204,2018-09-19,-1.9328117809480072,appreciation
205,2018-10-31,-0.6071351816032577,hold
206,2018-12-12,1.5675689704393925,depreciation
207,2019-02-06,0.8485110522618022,depreciation
208,2019-03-20,3.4478192940179397,depreciation
209,2019-05-08,0.638904444331323,hold
210,2019-06-19,-0.46620653730954364,hold
211,2019-07-31,1.9581629443221171,depreciation
212,2019-09-18,0.8781532024617622,depreciation
213,2019-10-30,-0.015030060120235778,hold
214,2019-12-11,-0.2501274921683394,hold
215,2020-02-05,1.7990191455248494,depreciation
216,2020-03-18,-0.8788584626827745,appreciation
217,2020-05-06,0.29381416254219417,hold
218,2020-06-17,1.5874837426363753,depreciation
219,2020-08-05,2.735378570349112,depreciation
220,2020-09-16,2.8791263340779194,depreciation
221,2020-10-28,-0.0695761075646728,hold
222,2020-12-09,-2.1070758276415913,appreciation
223,2021-01-20,3.055592185822209,depreciation
224,2021-03-17,-1.7253722794959958,appreciation
225,2021-05-05,-2.2033423583232237,appreciation
226,2021-06-16,0.7003105897248174,hold
227,2021-08-04,1.2091547524618385,depreciation
228,2021-09-22,0.8469289373688627,depreciation
229,2021-10-27,1.7547660311958424,depreciation
230,2021-12-08,1.4267373103560521,depreciation
231,2022-02-02,1.1451686417502271,depreciation
232,2022-03-16,-1.0791437742462717,appreciation
233,2022-05-04,3.216825848404792,depreciation
234,2022-06-15,1.9504668460199381,depreciation
235,2022-08-03,-2.272899318697952,appreciation
236,2022-09-21,1.724337908370388,depreciation
237,2022-10-26,-1.5962685596417336,appreciation
238,2022-12-07,0.5885284870791985,hold
239,2023-02-01,1.6072842438638268,depreciation
240,2023-03-22,0.14697741892382155,hold
241,2023-05-03,-0.870958053859261,appreciation
242,2023-06-21,0.442923716360899,hold
243,2023-08-02,1.3553966406120166,depreciation
244,2023-09-20,1.1660313947292833,depreciation
245,2023-11-01,-1.0553929976793386,appreciation
246,2023-12-13,0.5184718296972646,hold
247,2024-01-31,0.3027000847560135,hold
248,2024-03-20,0.6722892051287177,hold
249,2024-05-08,1.3200023571470654,depreciation
250,2024-06-19,-0.053358847448881086,hold
251,2024-07-31,1.3733297938235633,depreciation
252,2024-09-18,0.9100897271561825,depreciation
253,2024-11-06,1.0180716525169942,depreciation
254,2024-12-11,1.5373782419903836,depreciation
