,decision_date_cz,curr_change_cz,category_cz
182,2014-09-25,0.5843779688115447,depreciation
183,2014-11-06,-0.7936578670611927,appreciation
184,2014-12-17,0.9784805824374354,depreciation
185,2015-02-05,1.2917297838701547,depreciation
186,2015-03-26,-0.06572253213871226,hold
187,2015-05-07,0.8993879222698231,depreciation
188,2015-06-25,0.3769330162048279,hold
189,2015-08-06,-0.34118241536130745,hold
190,2015-09-24,0.23713559957019292,hold
191,2015-11-05,1.1834486086536922,depreciation
192,2015-12-16,0.3899091826438106,depreciation
193,2016-02-04,0.6495041620525166,depreciation
194,2016-03-31,-0.14897798576712917,hold
195,2016-05-05,-0.007173601147769659,hold
196,2016-06-30,-0.20502726862673404,hold
197,2016-08-04,0.37679130291550234,hold
198,2016-09-29,-0.16982934019846851,hold
199,2016-11-03,-0.2942808409198361,hold
200,2016-12-22,-0.21936430695554954,hold
201,2017-02-02,-0.24486188197259118,hold
202,2017-03-30,-0.18404184199142248,hold
203,2017-04-06,0.3885761801202481,depreciation
204,2017-05-04,-0.40945346151955997,hold
205,2017-06-29,-0.21691689944133286,hold
206,2017-08-03,1.1074651353568443,depreciation
207,2017-09-27,-0.7314453830048362,appreciation
208,2017-11-02,0.4289916653047898,depreciation
209,2017-12-21,0.2386480610422126,hold
210,2018-02-01,0.5963849438871627,depreciation
211,2018-03-29,-0.3991300514897156,hold
212,2018-05-03,0.19983542964616685,hold
213,2018-06-27,-0.9854037350052081,appreciation
214,2018-08-02,-0.05957297011872642,hold
215,2018-09-26,1.6772515602606175,depreciation
216,2018-11-01,0.05032423818374099,hold
217,2018-12-20,0.8725213470380355,depreciation
218,2019-02-07,0.2000263771046784,hold
219,2019-03-28,0.08348189051698984,hold
220,2019-05-02,-0.22648628910256763,hold
221,2019-06-26,-0.042915385165576136,hold
222,2019-08-01,-0.37905322646496487,hold
223,2019-09-25,0.3176895306859162,hold
224,2019-11-07,0.16589063345968658,hold
225,2019-12-18,0.1430378090794049,hold
226,2020-02-06,0.5574214422620516,depreciation
227,2020-03-16,3.9884853310467427,depreciation
228,2020-03-26,-0.3040895785375253,hold
229,2020-05-07,-0.1328523072149923,hold
230,2020-06-16,0.7362274689007409,depreciation
231,2020-06-24,0.398252069142635,depreciation
232,2020-07-15,-0.19722347002075757,hold
233,2020-08-06,0.7453926517196896,depreciation
234,2020-09-01,0.9964651804391433,depreciation
235,2020-09-23,0.7573433794018092,depreciation
236,2020-10-15,-0.4391672088484122,hold
237,2020-11-05,-0.7457521849075,appreciation
238,2020-12-07,-0.4957507082152923,appreciation
239,2020-12-17,0.09715892289712258,hold
240,2021-01-27,-0.3005206857631171,hold
241,2021-02-04,-0.9368418616491958,appreciation
242,2021-03-24,-0.49828054950397105,appreciation
243,2021-03-30,-0.7833073574461058,appreciation
244,2021-05-06,-1.0501273948112844,appreciation
245,2021-05-13,-0.6992775079947888,appreciation
246,2021-06-08,-0.24516141389184787,hold
247,2021-06-23,0.3798652606637365,depreciation
248,2021-07-14,-0.019425468639422405,hold
249,2021-08-05,0.6303666189892754,depreciation
250,2021-08-31,-0.6041144843418333,appreciation
251,2021-09-30,-0.2366885535039498,hold
252,2021-10-13,-0.10413574185297314,hold
253,2021-11-04,-0.5509478672985679,appreciation
254,2021-12-14,-0.4984534591334855,appreciation
255,2021-12-22,-0.23023479434615135,hold
256,2022-01-26,0.6331433597830394,depreciation
257,2022-02-03,-0.11423037869956465,hold
258,2022-03-29,-0.06026143494708425,hold
259,2022-03-31,0.009067334022438978,hold
260,2022-05-05,1.634501181282988,depreciation
261,2022-05-05,1.634501181282988,depreciation
262,2022-05-12,-1.053016970589582,appreciation
263,2022-06-07,0.5928546100824272,depreciation
264,2022-06-22,0.07815135739939194,hold
265,2022-07-13,0.3586611085888869,hold
266,2022-08-04,0.37679069360330164,hold
267,2022-09-06,-1.4039827758814072,appreciation
268,2022-09-29,0.3772980975053519,hold
269,2022-10-12,-0.055320662267355214,hold
270,2022-11-03,-2.322502960443684,appreciation
271,2022-12-06,-0.9852513466535817,appreciation
272,2022-12-21,-0.028058484403425954,hold
273,2023-01-26,0.1994337180208472,hold
274,2023-02-02,1.22313335417088,depreciation
275,2023-03-29,-0.34520532812917226,hold
276,2023-04-04,-0.009337155342248327,hold
277,2023-05-03,-0.09976893139002074,hold
278,2023-05-12,0.0,hold
279,2023-06-19,-0.651172201936967,appreciation
280,2023-06-21,0.5910997139392249,depreciation
281,2023-07-28,0.0,hold
282,2023-08-03,-0.5564061222738559,appreciation
283,2023-09-05,0.9529677187725794,depreciation
284,2023-09-27,-0.3433313492576917,hold
285,2023-10-26,-0.14521310773184526,hold
286,2023-11-02,-1.2021715526601473,appreciation
287,2023-12-19,-0.09579530244904211,hold
288,2023-12-21,0.038534091469166754,hold
289,2024-01-31,0.7744809190913582,depreciation
290,2024-02-08,0.0004270894282454307,hold
291,2024-03-20,1.6773187165543657,depreciation
292,2024-04-02,-0.5777912037884025,appreciation
293,2024-05-02,-0.009884310590835277,hold
294,2024-05-23,-0.6450992140723533,appreciation
295,2024-06-18,0.6522265665547922,depreciation
296,2024-06-27,-0.23315099729697142,hold
297,2024-07-31,-1.0825128606956613,appreciation
298,2024-08-01,-0.9754017990365349,appreciation
299,2024-09-03,-0.941683335897836,appreciation
300,2024-09-25,-0.3836096473180506,hold
301,2024-10-17,-0.3537103095394456,hold
302,2024-11-07,0.798363910186195,depreciation
303,2024-12-17,1.4480448048987515,depreciation
304,2024-12-19,-0.7153370742507548,appreciation
