,decision_date_za,curr_change_za,category_za
181,2017-09-21,-0.2018209065373422,hold
182,2017-11-23,1.981503090021186,depreciation
183,2018-01-18,0.5341510460457943,depreciation
184,2018-03-28,0.5408801827274878,depreciation
185,2018-05-24,0.6375476953294879,depreciation
186,2018-07-19,-0.986859114042804,appreciation
187,2018-09-20,0.23587051618547683,hold
188,2018-11-22,0.7911576497963813,depreciation
189,2019-01-17,0.9182401853970568,depreciation
190,2019-03-28,-0.7290675465678964,appreciation
191,2019-05-23,-0.49916460695101916,appreciation
192,2019-07-18,0.6841941753184422,depreciation
193,2019-09-19,0.7820987779284749,depreciation
194,2019-11-21,0.2165592950245765,hold
195,2020-01-16,0.3815496465462864,hold
196,2020-03-19,0.8186913533597906,depreciation
197,2020-04-14,3.0305510985952244,depreciation
198,2020-05-21,0.1688209815490449,hold
199,2020-07-23,-0.04680411876244461,hold
200,2020-09-17,1.0433943114587896,depreciation
201,2020-11-19,-0.09731728679405194,hold
202,2021-01-21,1.3685246033286358,depreciation
203,2021-03-25,-0.22638896287220378,hold
204,2021-05-20,-0.09159409504319038,hold
205,2021-07-22,1.0712657133717718,depreciation
206,2021-09-23,1.3789830508474488,depreciation
207,2021-11-18,0.5196382346361661,depreciation
208,2022-01-27,0.8944740518445737,depreciation
209,2022-03-24,0.11290644599424304,hold
210,2022-05-19,0.09161443590779417,hold
211,2022-07-21,-1.3368121720266024,appreciation
212,2022-09-22,1.9990680865088484,depreciation
213,2022-11-24,0.3589852058142551,hold
214,2023-01-26,-0.004072537714616686,hold
215,2023-03-30,-0.13523902515670816,hold
216,2023-05-25,-0.755460169170552,appreciation
217,2023-07-20,0.19861194795922632,hold
218,2023-09-21,-1.0472833943589333,appreciation
219,2023-11-23,-0.18656121440189244,hold
220,2024-01-25,-0.4540637914591472,appreciation
221,2024-03-27,-0.14807763498861926,hold
222,2024-05-30,0.20207836801724444,hold
223,2024-07-18,0.041076983744448015,hold
224,2024-09-19,-0.39098002229270845,hold
225,2024-11-21,0.03700594304398841,hold
226,2025-01-30,0.40334724433161995,hold
