,decision_date_tr,curr_change_tr,category_tr
191,2022-08-18,0.23145840947096374,hold
192,2022-09-22,0.40567066521264294,hold
193,2022-10-20,-0.061292299751591894,hold
194,2022-11-24,-0.10580419242398609,hold
195,2022-12-22,-0.03589413907638672,hold
196,2023-01-19,0.08637143984389084,hold
197,2023-02-23,0.11085474845520249,hold
198,2023-03-23,0.1907003377970229,hold
199,2023-04-27,0.07305541407498506,hold
200,2023-05-25,0.1795710358941438,hold
201,2023-06-22,1.3192813409615534,depreciation
202,2023-07-20,0.8062828790052601,depreciation
203,2023-08-24,2.7940965754406077,depreciation
204,2023-09-21,0.17811442099906483,hold
205,2023-10-26,0.10402797749018422,hold
206,2023-11-23,0.1616657820148637,hold
207,2023-12-21,0.353490287596947,hold
208,2024-01-25,0.008258347537681843,hold
209,2024-02-22,0.34012943093229,hold
210,2024-03-21,-0.037768240343361015,hold
211,2024-04-25,-0.08728417144577838,hold
212,2024-05-23,0.13018325079072746,hold
213,2024-06-27,-0.26819690097110715,hold
214,2024-07-23,0.44735784976079884,hold
215,2024-08-20,0.13103026976297727,hold
216,2024-09-19,0.257392694278602,hold
217,2024-10-17,0.29650551260003155,hold
218,2024-11-21,0.22907514534673545,hold
219,2024-12-26,-0.2590187426075752,hold
220,2024-01-23,0.02874731113513551,hold
