,decision_date_pe,curr_change_pe,category_pe
175,2016-09-08,0.8464508464508524,depreciation
176,2016-10-13,-0.10277492291880241,hold
177,2016-11-10,0.1469291801351691,hold
178,2016-12-15,0.0,hold
179,2017-01-12,0.02974419988102106,hold
180,2017-02-09,-0.4283965728274164,appreciation
181,2017-03-09,-0.16722408026755842,hold
182,2017-04-06,-0.09235031553024298,hold
183,2017-05-11,-0.5171889260723983,appreciation
184,2017-06-08,-0.04587857470561563,hold
185,2017-07-13,0.2158162478803849,depreciation
186,2017-08-10,-0.21528525296017342,appreciation
187,2017-09-14,0.379805465493277,depreciation
188,2017-10-12,-0.15368065160595856,hold
189,2017-11-09,0.06476484194295473,hold
190,2017-12-14,1.5726179463459777,depreciation
191,2018-01-11,-0.0621407487960246,hold
192,2018-02-08,0.32157295112091866,depreciation
193,2018-03-08,0.00920753790436546,hold
194,2018-04-12,0.0,hold
195,2018-05-10,-0.33969886154975315,appreciation
196,2018-06-07,-0.06435006435006052,hold
197,2018-07-12,-0.030557677616493972,hold
198,2018-08-09,0.3088212811496627,depreciation
199,2018-09-13,-0.14480511644744398,hold
200,2018-10-11,0.18026137899953554,depreciation
201,2018-11-08,0.17830609212481363,depreciation
202,2018-12-13,-0.11634844868734229,hold
203,2019-01-10,0.16457211250748838,hold
204,2019-02-07,-0.04511956685215868,hold
205,2019-03-07,0.0301886792452688,hold
206,2019-04-11,-0.018187329493779547,hold
207,2019-05-09,0.057341180021119875,hold
208,2019-06-13,0.49234464124887634,depreciation
209,2019-07-11,-0.07305046569672236,hold
210,2019-08-08,0.19561931296125934,depreciation
211,2019-09-12,-0.10529165789235906,hold
212,2019-10-10,-0.31496998870862436,appreciation
213,2019-11-07,0.5869142087138846,depreciation
214,2019-12-12,-0.29616466755516546,appreciation
215,2020-01-09,0.34332178888720755,depreciation
216,2020-02-13,-0.17727877086719523,appreciation
217,2020-03-12,-0.19838458268386372,appreciation
218,2020-03-19,0.0,hold
219,2020-04-09,0.0,hold
220,2020-05-07,0.13516690173953627,hold
221,2020-06-11,0.14446691707599157,hold
222,2020-07-09,0.05139039570603021,hold
223,2020-08-13,0.025203024362907556,hold
224,2020-09-10,0.8405731693557517,depreciation
225,2020-10-07,0.27728762288883324,depreciation
226,2020-11-12,0.013727589709788823,hold
227,2020-12-10,-0.055643658014081776,hold
228,2021-01-14,0.09971746717634122,hold
229,2021-02-11,0.12086583891879332,hold
230,2021-03-11,0.4521579032869427,depreciation
231,2021-04-08,0.7643559953304901,depreciation
232,2021-05-13,0.5466123698379288,depreciation
233,2021-06-10,-0.012837300059043155,hold
234,2021-07-08,0.275391611925202,depreciation
235,2021-08-12,-0.2641361768733974,appreciation
236,2021-09-09,0.05365461063824295,hold
237,2021-10-07,0.0,hold
238,2021-11-11,-0.024888003982070916,hold
239,2021-12-09,-0.5049019607843097,appreciation
240,2022-01-06,-0.8316532258064502,appreciation
241,2022-02-10,0.9491978609625695,depreciation
242,2022-03-10,-0.18321927035619412,appreciation
243,2022-04-07,0.17276285598597507,depreciation
244,2022-05-12,0.7973633850733686,depreciation
245,2022-06-09,0.27988804478209506,depreciation
246,2022-07-07,0.43702922954318435,depreciation
247,2022-08-11,-0.611502438269218,appreciation
248,2022-09-08,0.025759917568257684,hold
249,2022-10-06,-0.5703947533733711,appreciation
250,2022-11-10,-0.3875968992248069,appreciation
251,2022-12-07,0.0,hold
252,2023-01-12,0.6973058637083973,depreciation
253,2023-02-09,-0.5101512326496804,appreciation
254,2023-03-09,-0.03965002246835159,hold
255,2023-04-13,-0.03972457627117176,hold
256,2023-05-11,-0.08736008736007772,hold
257,2023-06-08,-0.07664932931836788,hold
258,2023-07-13,-0.43386983904828424,appreciation
259,2023-08-10,0.59234590817272,depreciation
260,2023-09-14,0.08077979428078308,hold
261,2023-10-05,0.11772400261609306,hold
262,2023-11-09,0.07888509071785066,hold
263,2023-12-14,-0.1328374070138083,hold
264,2024-01-11,-0.15131045663334675,hold
265,2024-02-08,0.06216650261616774,hold
266,2024-03-07,-0.595671275706855,appreciation
267,2024-04-11,0.35486929432479997,depreciation
268,2024-05-09,0.7044161473855448,depreciation
269,2024-06-13,0.30213882483900445,depreciation
270,2024-07-11,-0.8754656732304467,appreciation
271,2024-08-08,0.29526238088848356,depreciation
272,2024-09-12,0.1829753381066057,depreciation
273,2024-10-10,-0.43760774433099225,appreciation
274,2024-11-07,0.3865635830445191,depreciation
275,2024-12-12,-0.22739432851792696,appreciation
276,2025-01-09,0.2391708743024079,depreciation
