,decision_date_hu,curr_change_hu,category_hu
189,2009-06-22,-1.5449923490794215,appreciation
190,2009-07-27,2.3582137331270348,depreciation
191,2009-08-24,0.5762458649023694,hold
192,2009-09-28,-0.2225237449118067,hold
193,2009-10-19,-0.2887228260869512,hold
194,2009-11-23,-1.4405360134003287,appreciation
195,2009-12-21,-0.8356256812165785,appreciation
196,2010-01-25,1.1644227270364516,depreciation
197,2010-02-22,0.4688681623393087,hold
198,2010-03-29,0.03565425559006741,hold
199,2010-04-26,3.4996693626328845,depreciation
200,2010-05-31,0.5815253858197256,hold
201,2010-06-21,-0.1186291739894485,hold
202,2010-07-19,-0.040214477211797384,hold
203,2010-08-23,0.5503601950870296,hold
204,2010-09-27,-1.333139422144658,appreciation
205,2010-10-25,2.173134938896548,depreciation
206,2010-11-29,-1.3285806869734351,appreciation
207,2010-12-20,-0.0047402351156744515,hold
208,2011-01-24,-0.3375359872927697,hold
209,2011-02-21,0.7111514601301216,depreciation
210,2011-03-28,-0.836754025892017,appreciation
211,2011-04-18,-3.40673918811355,appreciation
212,2011-05-16,-0.385712776075231,hold
213,2011-06-20,-0.6082270714400151,appreciation
214,2011-07-26,1.5377951050465688,depreciation
215,2011-08-23,0.9051701187370087,depreciation
216,2011-09-20,3.319679939036013,depreciation
217,2011-10-25,-2.016995050891768,appreciation
218,2011-11-29,-2.277619908722983,appreciation
219,2011-12-20,2.219519610823961,depreciation
220,2012-01-24,-1.582664806417866,appreciation
221,2012-02-28,0.13930810308799835,hold
222,2012-03-27,1.3156091544470394,depreciation
223,2012-04-24,-2.319205357544163,appreciation
224,2012-05-29,2.218953561672632,depreciation
225,2012-06-24,0.04808953396868709,hold
226,2012-06-26,1.9794625300415092,depreciation
227,2012-08-28,1.5761743168422937,depreciation
228,2012-09-25,-0.42591753511553865,hold
229,2012-10-30,-0.49366915024912084,hold
230,2012-11-27,-0.5121579845891122,hold
231,2012-12-18,-1.0399411006810189,appreciation
232,2013-01-29,-1.8015141840736937,appreciation
233,2013-02-26,0.21250221356472476,hold
234,2013-03-26,0.40578239918842574,hold
235,2013-04-23,0.3382040497766914,hold
236,2013-05-28,0.8857078953254272,depreciation
237,2013-06-23,-0.5390481199053498,hold
238,2013-06-25,-0.017625027539103222,hold
239,2013-08-27,0.7640708986717648,depreciation
240,2013-09-24,-0.049507178540886265,hold
241,2013-10-29,1.7113999812961689,depreciation
242,2013-11-26,0.1136260339969164,hold
243,2013-12-17,0.8848334024609272,depreciation
244,2014-01-21,-0.12093523246438087,hold
245,2014-02-18,0.7580123232412861,depreciation
246,2014-03-25,0.3371035706365211,hold
247,2014-04-29,-0.9721786658303921,appreciation
248,2014-05-27,-0.09433962264151496,hold
249,2014-06-24,0.7958739051175945,depreciation
250,2014-07-22,0.043746445601300366,hold
251,2014-08-26,0.5383127260492948,hold
252,2014-09-23,1.061413290381208,depreciation
253,2014-10-28,0.7303185344116114,depreciation
254,2014-11-25,0.40744815222262254,hold
255,2014-12-16,2.5826859934331647,depreciation
256,2015-01-27,0.47906381422564426,hold
257,2015-02-24,0.4419191919192045,hold
258,2015-03-24,0.591586327782645,hold
259,2015-04-21,-0.4131192298020503,hold
260,2015-05-26,-0.6645569620253089,appreciation
261,2015-06-23,0.5082546319659542,hold
262,2015-07-21,0.4189597017574931,hold
263,2015-08-25,2.5601582243709453,depreciation
264,2015-09-22,-0.10356403114062385,hold
265,2015-10-20,2.1380797485471836,depreciation
266,2015-11-17,-1.125594443874245,appreciation
267,2015-12-15,1.2103188325610414,depreciation
268,2016-01-26,-0.16719495628547687,hold
269,2016-02-23,1.101731292030328,depreciation
270,2016-03-22,1.0867609485767815,depreciation
271,2016-04-26,-0.3992015968063978,hold
272,2016-05-24,-0.8902077151335286,appreciation
273,2016-06-21,-1.4718490997427836,appreciation
274,2016-07-26,-1.273460796351511,appreciation
275,2016-08-23,-0.018236860342124572,hold
276,2016-09-20,-1.43316125771632,appreciation
277,2016-10-25,0.1233915036136235,hold
278,2016-11-22,1.3497228247770554,depreciation
279,2016-12-20,-0.5945819554397658,appreciation
280,2017-01-24,0.6360179744210104,hold
281,2017-02-28,1.1257164430106048,depreciation
282,2017-03-28,1.016025976746615,depreciation
283,2017-04-25,0.4310344827586077,hold
284,2017-05-23,-0.6198122440102871,appreciation
285,2017-06-20,-0.13683831472812713,hold
286,2017-07-18,-0.8875292695822767,appreciation
287,2017-08-22,0.0038797284189984182,hold
288,2017-09-19,1.0588601681719156,depreciation
289,2017-10-24,1.22187227260655,depreciation
290,2017-11-21,-1.1729875580872462,appreciation
291,2017-12-19,-0.5710180003025256,appreciation
292,2018-01-30,-1.4244673210438097,appreciation
293,2018-02-27,-0.4711654530586862,hold
294,2018-03-27,0.666032350142709,depreciation
295,2018-04-24,1.1897773081288587,depreciation
296,2018-05-22,0.914984256343776,depreciation
297,2018-06-19,1.0673470854596578,depreciation
298,2018-07-24,-0.29386467889908063,hold
299,2018-08-21,0.6154286532130904,hold
300,2018-09-18,-1.030370717296547,appreciation
301,2018-10-16,1.5499136939010283,depreciation
302,2018-11-20,-0.31832490361830557,hold
303,2018-12-18,-0.9801847542486475,appreciation
304,2019-01-29,-0.5333717745423128,hold
305,2019-02-26,-0.06836007771461317,hold
306,2019-03-26,0.9654148100997295,depreciation
307,2019-04-30,0.5228893967726522,hold
308,2019-05-28,-0.5014668758954621,hold
309,2019-06-25,0.06678617877604598,hold
310,2019-07-23,0.14368799178925418,hold
311,2019-08-27,0.8918655134116271,depreciation
312,2019-09-24,1.436402060494002,depreciation
313,2019-10-22,0.22306340408273506,hold
314,2019-11-19,0.6323005757262967,hold
315,2019-12-17,0.31399824431088685,hold
316,2020-01-28,-0.3521471192409198,hold
317,2020-02-25,-0.9414562046140995,appreciation
318,2020-03-24,-2.192488976737128,appreciation
319,2020-04-28,-2.526704390716261,appreciation
320,2020-05-26,-0.42295309639541756,hold
321,2020-06-23,2.168986727096156,depreciation
322,2020-07-21,-1.5451520442789857,appreciation
323,2020-08-25,1.0328292143120699,depreciation
324,2020-09-22,0.3483533851562859,hold
325,2020-10-20,0.394008466297624,hold
326,2020-11-17,-0.6398477490484278,appreciation
327,2020-12-15,-1.170688419399979,appreciation
328,2021-01-26,0.14885986873265367,hold
