,decision_date_cn,curr_change_cn,category_cn
234,2014-01-28,0.14874066239176642,depreciation
235,2014-02-27,0.23006885748784178,depreciation
236,2014-03-29,0.06438320885913118,hold
237,2014-04-28,0.10715542334387429,depreciation
238,2014-05-28,-0.12629492262438147,appreciation
239,2014-06-27,0.0,hold
240,2014-07-27,-0.16150914141740413,appreciation
241,2014-08-26,-0.16087882087200134,appreciation
242,2014-09-25,-0.15480885180717552,appreciation
243,2014-10-25,-0.0032697369496514916,hold
244,2014-11-24,-0.058607104483432426,hold
245,2014-12-02,0.07804878048780495,hold
246,2015-01-01,0.0,hold
247,2015-01-31,0.1503879689624954,depreciation
248,2015-03-02,-0.03825981603404749,hold
249,2015-04-11,0.1272387578920231,depreciation
250,2015-05-11,-0.07891134551896162,hold
251,2015-06-29,-0.11596443757247998,appreciation
252,2015-08-27,-0.24822030723116173,appreciation
253,2015-09-26,-0.08785002745314019,appreciation
254,2015-10-26,0.09760244320955458,depreciation
255,2015-11-09,0.0644400785854593,hold
256,2015-12-09,0.42158647189682874,depreciation
257,2016-01-08,0.0,hold
258,2016-02-07,0.0,hold
259,2016-03-08,0.05841929681615898,hold
260,2016-04-07,0.01702127659573005,hold
261,2016-05-07,0.32173645320194844,depreciation
262,2016-06-06,-0.019805902158842592,hold
263,2016-07-06,0.0328917860239919,hold
264,2016-08-05,0.0,hold
265,2016-09-04,-0.15717386423172997,appreciation
266,2016-10-04,0.0,hold
267,2016-11-03,-0.1271249076127079,appreciation
268,2016-12-03,0.021802325581399273,hold
269,2017-01-02,-0.15550755939525152,appreciation
270,2017-02-01,-0.24404416037188126,appreciation
271,2017-03-03,0.0,hold
272,2017-04-02,0.0,hold
273,2017-05-02,0.0,hold
274,2017-06-01,0.02496952249460005,hold
275,2017-07-01,0.2860977156424749,depreciation
276,2017-07-31,-0.07284512235007368,hold
277,2017-08-30,-0.5398847437064092,appreciation
278,2017-09-29,0.0,hold
279,2017-10-29,-0.23306518306894786,appreciation
280,2017-11-28,0.012105987924271311,hold
281,2017-12-28,-0.4101936175097576,appreciation
282,2018-01-27,0.19278479212425648,depreciation
283,2018-02-26,0.2359050680008412,depreciation
284,2018-03-28,-0.36043188313751306,appreciation
285,2018-04-27,0.0,hold
286,2018-05-27,0.40521301062315107,depreciation
287,2018-06-26,0.7250011399388967,depreciation
288,2018-07-26,0.3032667422379953,depreciation
289,2018-08-25,0.0748843697232271,hold
290,2018-09-24,0.31354362631432764,depreciation
291,2018-10-24,-0.007200460829492883,hold
292,2018-11-23,0.0,hold
293,2018-12-23,-0.28089480923767507,appreciation
294,2019-01-22,-0.286427732079908,appreciation
295,2019-02-21,-0.1323892541576166,appreciation
296,2019-03-23,-0.13098746688101626,appreciation
297,2019-04-22,0.14600497608794338,depreciation
298,2019-05-22,-0.08832515239708405,appreciation
299,2019-06-21,0.0,hold
300,2019-07-21,-0.042138300809346774,hold
301,2019-08-20,0.3229233057148839,depreciation
302,2019-09-20,0.0,hold
303,2019-10-21,-0.15545505935555815,appreciation
304,2019-11-20,0.041220115416318315,hold
305,2019-12-22,0.009990580309993113,hold
306,2020-01-21,0.5328854006776851,depreciation
307,2020-02-20,0.05694922976167138,hold
308,2020-03-21,-0.10428410372040897,appreciation
309,2020-04-20,0.15127095880340669,depreciation
310,2020-05-29,0.0,hold
311,2020-06-28,-0.20061597581305657,appreciation
312,2020-07-28,0.11427265455377089,depreciation
313,2020-08-27,-0.41629799393684275,appreciation
314,2020-09-26,-0.18318239104311296,appreciation
315,2020-10-26,0.2502905157772295,depreciation
316,2020-11-25,-0.013679890560869268,hold
317,2020-12-25,0.0,hold
318,2021-01-24,-0.2530278484918602,appreciation
319,2021-02-23,-0.18401682439537215,appreciation
320,2021-03-25,-0.07943418419564807,hold
321,2021-04-24,-0.16624847990394098,appreciation
322,2021-05-24,-0.4439736419858842,appreciation
323,2021-06-23,-0.2795669029856618,appreciation
324,2021-07-23,0.0,hold
325,2021-08-22,-0.46297008382680804,appreciation
326,2021-09-21,-0.11134996365661509,appreciation
327,2021-10-21,-0.12826127760746653,appreciation
328,2021-11-20,-0.03131311549842142,hold
329,2021-12-20,-0.09097040324983485,appreciation
330,2022-01-20,-0.03784832284619011,hold
331,2022-02-23,0.04750969989706366,hold
332,2022-03-25,0.0,hold
333,2022-04-24,0.849047897375943,depreciation
334,2022-05-24,1.2804905541277778,depreciation
335,2022-06-23,-0.13733393043737774,appreciation
336,2022-07-23,-0.00888691401911279,hold
337,2022-08-22,0.16354423725595257,depreciation
338,2022-09-23,0.0,hold
339,2022-10-23,0.5269272259563529,depreciation
340,2022-11-22,0.169470160646501,depreciation
341,2022-12-22,0.06585163340682154,hold
342,2023-01-21,0.0,hold
343,2023-02-20,0.5499474851207831,depreciation
344,2023-03-22,-0.03930131004367121,hold
345,2023-04-21,0.0,hold
346,2023-05-21,0.627495721620086,depreciation
347,2023-06-20,-0.020888746535951963,hold
348,2023-07-22,-0.0027825699816297345,hold
349,2023-08-21,-0.06453207381370563,hold
350,2023-09-26,-0.1805449173870266,appreciation
351,2023-10-26,0.008200306144767744,hold
352,2023-11-25,0.0531542873129176,hold
353,2023-12-25,0.08827980494365839,depreciation
354,2024-01-24,0.2710254260966716,depreciation
355,2024-02-23,0.0,hold
356,2024-03-24,-0.17290986554527876,appreciation
357,2024-04-23,-0.07315187986529637,hold
358,2024-05-23,0.009664637092887673,hold
359,2024-06-22,-0.022035532295827664,hold
360,2024-07-22,-0.14160411339327883,appreciation
361,2024-08-22,-0.3651881908493193,appreciation
362,2024-09-21,0.07237122179650779,hold
363,2024-10-21,0.13060146891545887,depreciation
