,decision_date_ph,curr_change_ph,category_ph
289,2010-03-11,-0.12686469224376662,hold
290,2010-04-22,-0.04509582863585493,hold
291,2010-06-03,-0.06475285991798252,hold
292,2010-07-15,0.0021591743317284084,hold
293,2010-08-26,0.06641576267434335,hold
294,2010-10-07,0.2652214022140331,hold
295,2010-11-18,0.13718989367783596,hold
296,2010-12-29,-0.32995790192286156,hold
297,2011-02-10,0.228859137201054,hold
298,2011-03-24,-0.29460504511139574,hold
299,2011-05-05,0.41943376441804237,hold
300,2011-06-16,0.05741187277528148,hold
301,2011-07-28,-0.283922867620956,hold
302,2011-09-08,0.17682423670872804,hold
303,2011-10-20,0.2145972263885243,hold
304,2011-12-01,-0.030034886676055805,hold
305,2012-01-19,-0.5333946430624237,appreciation
306,2012-03-01,-0.2965903783278878,hold
307,2012-04-19,-0.023464263926054052,hold
308,2012-06-14,-0.711969547441138,appreciation
309,2012-07-26,1.9584569732937762,depreciation
310,2012-09-13,-0.7904191616766476,appreciation
311,2012-10-25,-0.024265954865321238,hold
312,2012-12-13,0.02677897606933044,hold
313,2013-01-24,0.0664402775727213,hold
314,2013-03-14,-0.02461235540242024,hold
315,2013-04-25,-0.09936984973338836,hold
316,2013-06-13,-0.6728538283062635,appreciation
317,2013-07-25,-0.08074749106009582,hold
318,2013-09-12,-0.027344195055256648,hold
319,2013-10-24,-0.11602274045712235,hold
320,2013-12-12,0.14287334164870824,hold
321,2014-02-06,-0.3756906077348132,hold
322,2014-03-27,-0.3530273762738956,hold
323,2014-05-08,-1.2333107037791224,appreciation
324,2014-06-19,-0.1368925393565923,hold
325,2014-07-31,0.10363887609396993,hold
326,2014-09-11,0.12083903328772294,hold
327,2014-10-23,0.011159468809296413,hold
328,2014-12-11,0.2360611510791477,hold
329,2015-02-12,-0.18032232615802224,hold
330,2015-03-26,-0.16726137377341965,hold
331,2015-05-14,-0.08980691513246208,hold
332,2015-06-25,-0.12184315463004136,hold
333,2015-08-13,0.12999675008125156,hold
334,2015-09-24,0.0,hold
335,2015-11-12,0.16596804051323133,hold
336,2015-12-17,-0.11604599641312774,hold
337,2016-02-11,0.6111696522655308,depreciation
338,2016-03-23,0.0,hold
339,2016-05-12,-0.19722597380323892,hold
340,2016-05-16,0.43047783039171783,hold
341,2016-06-23,0.946033111158906,depreciation
342,2016-08-11,-0.4060696730070479,hold
343,2016-09-22,0.30725497982986294,hold
344,2016-11-10,0.5754212905877631,depreciation
345,2016-12-22,-0.3701110333099944,hold
346,2017-02-09,-0.026066208168740168,hold
347,2017-03-23,0.029806259314457684,hold
348,2017-05-11,-0.39633291965250894,hold
349,2017-06-22,-0.2443482061265767,hold
350,2017-08-10,0.3642090756964089,hold
351,2017-09-21,-0.6677763634583389,appreciation
352,2017-11-09,-0.0390129718131349,hold
353,2017-12-14,-0.01981767736820572,hold
354,2018-02-08,0.2825684497710368,hold
355,2018-03-22,0.3640195421017234,hold
356,2018-05-10,0.5200308166409817,depreciation
357,2018-06-20,-0.3235882760039721,hold
358,2018-08-09,0.08476172537199567,hold
359,2018-09-27,-0.3872395353125446,hold
360,2018-11-15,-0.1704384054540209,hold
361,2018-12-13,0.47492401215805113,depreciation
362,2019-02-07,-0.33492822966506575,hold
363,2019-03-21,-0.7867298578199011,appreciation
364,2019-05-09,-0.32507887943398206,hold
365,2019-06-20,-0.18005808325265438,hold
366,2019-08-08,-0.3073967339096928,hold
367,2019-09-26,-0.4509691038188435,appreciation
368,2019-11-14,-0.06906077348065587,hold
369,2019-12-12,-0.15971291111287478,hold
370,2020-02-06,-0.023636005515070835,hold
371,2020-03-19,-0.43052837573385183,hold
372,2020-04-16,0.2500935389220471,hold
373,2020-06-25,-0.1639508147555757,hold
374,2020-08-20,0.0,hold
375,2020-10-01,0.05985799207397502,hold
376,2020-11-19,-0.1924868053399531,hold
377,2020-12-17,0.06451881451881025,hold
378,2021-02-11,0.0,hold
379,2021-03-25,-0.15439405479958923,hold
380,2021-05-12,-0.0062739193174010666,hold
381,2021-06-24,-0.5272876487484757,appreciation
382,2021-08-12,0.12498760043646584,hold
383,2021-09-23,0.5860150973380884,depreciation
384,2021-11-18,0.3622395159524672,hold
385,2021-12-16,0.09003601440575881,hold
386,2022-01-27,-0.20453881367489268,hold
387,2022-02-17,0.037009622501837924,hold
388,2022-03-24,-0.3344609445177005,hold
389,2022-05-19,-0.447960350743426,appreciation
390,2022-06-23,0.576131687242798,depreciation
391,2022-07-14,0.46300418484550576,depreciation
392,2022-08-18,0.11632068718683275,hold
393,2022-09-22,0.008548469823899119,hold
394,2022-11-17,-0.2091685549938993,hold
395,2022-12-15,-0.21011044266858736,hold
396,2023-02-16,0.2722471277927907,hold
397,2023-03-23,0.07365804253751662,hold
398,2023-05-18,-0.3810989246927021,hold
399,2023-06-22,0.24265300620114338,hold
400,2023-08-17,-1.065609863496253,appreciation
401,2023-09-21,-0.10201748368600105,hold
402,2023-10-26,-0.01755309812181416,hold
403,2023-11-16,-0.18825638727028027,hold
404,2023-12-14,-0.23655913978494203,hold
405,2024-02-15,-0.1213527259748326,hold
406,2024-04-08,0.0,hold
407,2024-05-16,0.24879517024201103,hold
408,2024-06-27,-0.24168978605347835,hold
409,2024-08-15,0.5586297760210801,depreciation
410,2024-10-16,-0.3896103896103953,hold
411,2024-11-26,-0.5305264585240055,appreciation
412,2024-12-19,-0.3339152838280013,hold
