rate_br,rate_cl,rate_mx,rate_cz,rate_po,rate_ch,rate_in,rate_sk,rate_co,rate_hu,rate_tu,rate_is,rate_sa,rate_ma,rate_ph,rate_th,rate_tw,rate_pe,rate_id
79.76,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.61,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.76,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.76,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.76,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
79.76,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
87.61,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
87.61,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
87.45,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
91.58,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
92.22,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
92.22,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
92.22,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
92.87,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
93.68,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
93.84,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
94.0,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
96.95,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
96.95,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
96.95,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
98.11,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
100.61,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
100.78,,,,,6.0,10.0,,,17.0,47.87,,18.0,,7.56,,,,13.13
97.78,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
138.79,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
138.79,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
138.79,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
137.59,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
121.45,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
136.99,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
147.33,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
161.81,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
161.81,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
161.81,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
180.64,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
192.14,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
163.57,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
163.57,,,,,6.0,10.0,,,17.0,56.92,,18.0,,7.56,,,,13.2
112.73,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
112.73,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
112.73,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
196.32,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
168.24,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
181.35,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
172.09,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
214.45,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
214.45,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
214.45,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
261.56,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
210.53,,,,,6.0,10.0,,,21.0,56.92,,18.0,,7.56,,,,13.2
259.45,,,,,6.0,10.0,,,21.0,56.92,,18.0,,4.5,,,,13.2
277.3,,,,,6.0,10.0,,,21.0,56.92,,18.0,,4.38,,,,13.2
460.96,,,,,6.0,10.0,,,21.0,56.92,,18.0,,4.13,,,,13.2
460.96,,,,,6.0,10.0,,,21.0,61.64,,18.0,,4.13,,,,16.94
460.96,,,,,6.0,10.0,,,21.0,61.64,,18.0,,4.13,,,,16.94
306.77,,,,,6.0,10.0,,,21.0,61.64,,18.0,,8.0,,,,16.94
337.06,,,,,6.0,10.0,,,21.0,61.64,,18.0,,8.0,,,,16.94
377.11,,,,,6.0,10.0,,,21.0,61.64,,18.0,,8.0,,,,16.94
399.52,,,,,6.0,10.0,,,21.0,61.64,,18.0,,15.94,,,,16.94
399.52,,,,,6.0,10.0,,,21.0,61.64,,18.0,,14.44,,,,16.94
399.52,,,,,6.0,10.0,,,21.0,61.64,,18.0,,14.44,,,,16.94
399.52,,,,,6.0,10.0,,,21.0,61.64,,18.0,,14.44,,,,16.94
394.13,,,,,6.0,10.0,,,21.0,61.64,,18.0,,14.44,,,,16.94
344.79,,,,,6.0,10.0,,,21.0,61.64,,18.0,,14.44,,,,16.94
406.66,,,,,6.0,10.0,,,21.0,61.64,,18.0,,14.44,,,,16.94
329.82,,,,,6.0,10.0,,,21.0,61.64,,18.0,,14.44,,,,16.94
366.09,,,,,6.0,10.0,,,21.0,61.64,,18.0,,6.0,,,,16.94
366.09,,,,,6.0,10.0,,,21.0,61.64,,18.0,,6.0,,,,16.94
366.09,,,,,6.0,10.0,,,21.0,61.64,,18.0,,6.0,,,,16.94
379.11,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
372.75,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
356.84,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
305.75,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
324.47,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
324.47,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
324.47,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
329.46,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
285.91,,,,,6.0,10.0,,,21.0,61.64,,18.0,,10.0,,,,16.94
288.18,,,,,6.0,10.0,,,21.0,61.64,,18.0,,8.0,,,,16.94
290.13,,,,,6.0,10.0,,,21.0,61.64,,18.0,,8.0,,,,16.94
337.79,,,,,6.0,10.0,,,21.0,61.64,,18.0,,4.25,,,,16.94
337.79,,,,,6.0,10.0,,,21.0,61.64,,18.0,,4.25,,,,16.94
337.79,,,,,6.0,10.0,,,21.0,61.64,,18.0,,4.25,,,,16.94
300.03,,,,,6.0,10.0,,,21.0,61.64,,18.0,,8.0,,,,16.94
274.79,,,,,6.0,10.0,,,21.0,54.48,,18.0,,11.0,,,,17.74
239.59,,,,,6.0,10.0,,,21.0,54.48,,18.0,,24.0,,,,17.74
265.51,,,,,6.0,10.0,,,21.0,54.48,,18.0,,33.25,,,,17.74
303.72,,,,,6.0,10.0,,,21.0,54.48,,18.0,,24.56,,,,17.74
303.72,,,,,6.0,10.0,,,21.0,54.48,,18.0,,24.56,,,,17.74
303.72,,,,,6.0,10.0,,,21.0,54.48,,18.0,,24.56,,,,17.74
253.49,,,,,6.0,10.0,,,21.0,54.48,,18.0,,37.06,,,,17.74
252.02,,,,,6.0,10.0,,,21.0,54.48,,18.0,,32.29,,,,17.74
235.92,,,,,6.0,10.0,,,21.0,54.48,,18.0,,32.29,,,,17.74
267.96,,,,,6.0,10.0,,,21.0,54.48,,18.0,,32.29,,,,17.74
254.68,,,,,6.0,10.0,,,21.0,54.48,,18.0,,32.29,,,,17.74
254.68,,,,,6.0,10.0,,,21.0,54.48,,18.0,,32.29,,,,17.74
254.68,,,,,6.0,10.0,,,21.0,54.48,,18.0,,32.29,,,,17.74
